127.0.0.1 - - [08/Mar/2016:15:21:43 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Mar/2016:15:21:50 +0800] "GET /library_manager/gui.html HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [08/Mar/2016:15:22:01 +0800] "GET /library_manager/gui.html HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [08/Mar/2016:15:22:01 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Mar/2016:15:28:27 +0800] "GET /library_manager/gui.html HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [08/Mar/2016:15:29:07 +0800] "GET /library_manager/gui.html HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [08/Mar/2016:15:35:32 +0800] "GET /library_manager/gui.html HTTP/1.1" 200 2231
0:0:0:0:0:0:0:1 - - [08/Mar/2016:15:35:58 +0800] "GET /library_manager/gui.html HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [08/Mar/2016:16:01:49 +0800] "GET /library_manager/gui.html HTTP/1.1" 200 2221
0:0:0:0:0:0:0:1 - - [08/Mar/2016:16:02:27 +0800] "GET /library_manager/gui.html HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [08/Mar/2016:16:02:28 +0800] "GET /library_manager/gui.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2016:16:02:42 +0800] "GET /library_manager/gui.html HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [08/Mar/2016:16:02:57 +0800] "GET /library_manager/gui.html HTTP/1.1" 200 2228
